codigo_upz,nombre_upz,codigo_localidad,ano,poblacion_total,poblacion_hombres,poblacion_mujeres,poblacion_0_14,poblacion_15_59,poblacion_60_mas
073,GARCES NAVAS,10,2019,163649.0,77169.0,86480.0,39505.0,101578.0,22566.0
074,ENGATIVA,10,2019,138394.0,66982.0,71412.0,38129.0,87967.0,12298.0
105,JARDIN BOTANICO,10,2019,2619.0,1506.0,1113.0,598.0,1829.0,192.0
116,ALAMOS,10,2019,11943.0,5612.0,6331.0,2813.0,7782.0,1348.0
002,LA ACADEMIA,11,2019,4451.0,2163.0,2288.0,1636.0,2504.0,311.0
003,GUAYMARAL,11,2019,2305.0,1115.0,1190.0,619.0,1436.0,250.0
017,SAN JOSE DE BAVARIA,11,2019,48861.0,22665.0,26196.0,10179.0,30147.0,8535.0
018,BRITALIA,11,2019,87244.0,40375.0,46869.0,21277.0,53917.0,12050.0
019,EL PRADO,11,2019,100175.0,45855.0,54320.0,21473.0,60549.0,18153.0
020,LA ALHAMBRA,11,2019,40834.0,18398.0,22436.0,7136.0,23874.0,9824.0
023,CASA BLANCA SUBA,11,2019,55914.0,25868.0,30046.0,14470.0,33260.0,8184.0
024,NIZA,11,2019,79406.0,36279.0,43127.0,16773.0,45530.0,17103.0
025,LA FLORESTA,11,2019,42505.0,19271.0,23234.0,10042.0,24504.0,7959.0
027,SUBA,11,2019,170643.0,79902.0,90741.0,44066.0,107141.0,19436.0
028,EL RINCON,11,2019,277053.0,132790.0,144263.0,74755.0,170749.0,31549.0
071,TIBABUYES,11,2019,279695.0,135269.0,144426.0,80639.0,175808.0,23248.0
021,LOS ANDES,12,2019,28367.0,12668.0,15699.0,5199.0,17721.0,5447.0
022,DOCE DE OCTUBRE,12,2019,67630.0,32457.0,35173.0,15637.0,41073.0,10920.0
098,LOS ALCAZARES,12,2019,40962.0,19865.0,21097.0,8483.0,25315.0,7164.0
103,PARQUE SALITRE,12,2019,1357.0,710.0,647.0,340.0,788.0,229.0
100,GALERIAS,13,2019,35493.0,16395.0,19098.0,6516.0,22877.0,6100.0
101,TEUSAQUILLO,13,2019,26791.0,12522.0,14269.0,4692.0,17354.0,4745.0
104,PARQUE SIMON BOLIVAR - CAN,13,2019,3086.0,1585.0,1501.0,452.0,1990.0,644.0
106,LA ESMERALDA,13,2019,37585.0,16712.0,20873.0,7336.0,21688.0,8561.0
107,QUINTA PAREDES,13,2019,26738.0,11966.0,14772.0,4921.0,16718.0,5099.0
109,CIUDAD SALITRE ORIENTAL,13,2019,22721.0,10121.0,12600.0,5319.0,13949.0,3453.0
037,SANTA ISABEL,14,2019,43484.0,19997.0,23487.0,10060.0,27079.0,6345.0
102,LA SABANA,14,2019,39473.0,18760.0,20713.0,9082.0,25253.0,5138.0
035,CIUDAD JARDIN,15,2019,25385.0,12037.0,13348.0,5978.0,15326.0,4081.0
038,RESTREPO,15,2019,54710.0,26060.0,28650.0,12794.0,33020.0,8896.0
040,CIUDAD MONTES,16,2019,99795.0,47098.0,52697.0,22852.0,60646.0,16297.0
041,MUZU,16,2019,57876.0,27443.0,30433.0,13066.0,35369.0,9441.0
043,SAN RAFAEL,16,2019,72176.0,34309.0,37867.0,16824.0,43920.0,11432.0
108,ZONA INDUSTRIAL,16,2019,6183.0,3093.0,3090.0,1708.0,3826.0,649.0
111,PUENTE ARANDA,16,2019,11207.0,8709.0,2498.0,1732.0,8647.0,828.0
094,LA CANDELARIA,17,2019,17345.0,9085.0,8260.0,3286.0,11305.0,2754.0
036,SAN JOSE,18,2019,47489.0,22520.0,24969.0,11702.0,28656.0,7131.0
039,QUIROGA,18,2019,90058.0,43507.0,46551.0,22274.0,53733.0,14051.0
053,MARCO FIDEL SUAREZ,18,2019,46874.0,22582.0,24292.0,13345.0,27989.0,5540.0
054,MARRUECOS,18,2019,115218.0,60332.0,54886.0,31786.0,71828.0,11604.0
055,DIANA TURBAY,18,2019,73342.0,35513.0,37829.0,22099.0,42816.0,8427.0
063,EL MOCHUELO,19,2019,34.0,17.0,17.0,10.0,21.0,3.0
064,MONTE BLANCO,19,2019,5722.0,2898.0,2824.0,1994.0,3263.0,465.0
065,ARBORIZADORA,19,2019,79581.0,38073.0,41508.0,21488.0,49677.0,8416.0
066,SAN FRANCISCO,19,2019,69427.0,34001.0,35426.0,20114.0,41168.0,8145.0
067,LUCERO,19,2019,157160.0,78054.0,79106.0,51153.0,90794.0,15213.0
068,EL TESORO,19,2019,51168.0,25484.0,25684.0,16903.0,30144.0,4121.0
069,ISMAEL PERDOMO,19,2019,159120.0,77946.0,81174.0,46741.0,98191.0,14188.0
070,JERUSALEM,19,2019,97494.0,47840.0,49654.0,30451.0,57814.0,9229.0
001,PASEO DE LOS LIBERTADORES,01,2020,2636.0,1301.0,1335.0,673.0,1670.0,293.0
009,VERBENAL,01,2020,126286.0,59874.0,66412.0,35381.0,78017.0,12888.0
010,LA URIBE,01,2020,34328.0,15738.0,18590.0,9100.0,20538.0,4690.0
011,SAN CRISTOBAL NORTE,01,2020,70927.0,33706.0,37221.0,19163.0,42879.0,8885.0
012,TOBERIN,01,2020,61308.0,28218.0,33090.0,14115.0,36606.0,10587.0
013,LOS CEDROS,01,2020,129866.0,57618.0,72248.0,24644.0,75165.0,30057.0
014,USAQUEN,01,2020,41769.0,19792.0,21977.0,9353.0,24596.0,7820.0
015,COUNTRY CLUB,01,2020,25404.0,11397.0,14007.0,5303.0,13450.0,6651.0
016,SANTA BARBARA,01,2020,71469.0,32161.0,39308.0,14104.0,40120.0,17245.0
088,EL REFUGIO,02,2020,39563.0,17856.0,21707.0,8902.0,21926.0,8735.0
089,SAN ISIDRO - PATIOS,02,2020,16732.0,8331.0,8401.0,4873.0,10192.0,1667.0
090,PARDO RUBIO,02,2020,50573.0,24879.0,25694.0,10921.0,33931.0,5721.0
097,CHICO LAGO,02,2020,36688.0,17243.0,19445.0,7680.0,21931.0,7077.0
099,CHAPINERO,02,2020,25257.0,12622.0,12635.0,3743.0,18282.0,3232.0
091,SAGRADO CORAZON,03,2020,10807.0,5405.0,5402.0,2089.0,7243.0,1475.0
092,LA MACARENA,03,2020,12328.0,6032.0,6296.0,2405.0,7934.0,1989.0
093,LAS NIEVES,03,2020,17050.0,8857.0,8193.0,3324.0,11384.0,2342.0
095,LAS CRUCES,03,2020,20917.0,10583.0,10334.0,5556.0,12694.0,2667.0
096,LOURDES,03,2020,45379.0,22164.0,23215.0,13085.0,26995.0,5299.0
032,SAN BLAS,04,2020,101914.0,49043.0,52871.0,29090.0,61124.0,11700.0
033,SOSIEGO,04,2020,43504.0,21049.0,22455.0,10816.0,26366.0,6322.0
034,20 DE JULIO,04,2020,79921.0,38639.0,41282.0,20340.0,48422.0,11159.0
050,LA GLORIA,04,2020,95420.0,46202.0,49218.0,27339.0,56637.0,11444.0
051,LOS LIBERTADORES,04,2020,76589.0,37132.0,39457.0,22857.0,45407.0,8325.0
052,LA FLORA,05,2020,19145.0,9550.0,9595.0,6203.0,11043.0,1899.0
056,DANUBIO,05,2020,54209.0,26362.0,27847.0,17314.0,32830.0,4065.0
057,GRAN YOMASA,05,2020,128635.0,62914.0,65721.0,37261.0,75946.0,15428.0
058,COMUNEROS,05,2020,96425.0,47420.0,49005.0,28510.0,57486.0,10429.0
059,ALFONSO LOPEZ,05,2020,51083.0,25388.0,25695.0,15696.0,30595.0,4792.0
060,PARQUE ENTRENUBES,05,2020,1092.0,562.0,530.0,411.0,611.0,70.0
061,CIUDAD USME,05,2020,25419.0,12395.0,13024.0,8135.0,15108.0,2176.0
042,VENECIA,06,2020,137792.0,67497.0,70295.0,35555.0,83794.0,18443.0
062,TUNJUELITO,06,2020,40875.0,20466.0,20409.0,11222.0,24378.0,5275.0
049,APOGEO,07,2020,36587.0,17535.0,19052.0,9128.0,21723.0,5736.0
084,BOSA OCCIDENTAL,07,2020,199020.0,97155.0,101865.0,58486.0,123410.0,17124.0
085,BOSA CENTRAL,07,2020,236694.0,113962.0,122732.0,67472.0,142049.0,27173.0
086,EL PORVENIR,07,2020,138916.0,66440.0,72476.0,42769.0,86246.0,9901.0
087,TINTAL SUR,07,2020,106477.0,50056.0,56421.0,33477.0,66279.0,6721.0
044,AMERICAS,08,2020,79530.0,37727.0,41803.0,19065.0,47509.0,12956.0
045,CARVAJAL,08,2020,90196.0,43669.0,46527.0,22179.0,54290.0,13727.0
046,CASTILLA,08,2020,141266.0,67366.0,73900.0,35770.0,87756.0,17740.0
047,KENNEDY CENTRAL,08,2020,94337.0,44764.0,49573.0,22044.0,55161.0,17132.0
048,TIMIZA,08,2020,141465.0,67981.0,73484.0,36347.0,84712.0,20406.0
078,TINTAL NORTE,08,2020,29270.0,13782.0,15488.0,8805.0,18099.0,2366.0
079,CALANDAIMA,08,2020,128285.0,60949.0,67336.0,37661.0,80459.0,10165.0
080,CORABASTOS,08,2020,56908.0,28500.0,28408.0,17007.0,35500.0,4401.0
081,GRAN BRITALIA,08,2020,63038.0,30854.0,32184.0,17530.0,37887.0,7621.0
082,PATIO BONITO,08,2020,139753.0,69630.0,70123.0,41197.0,85916.0,12640.0
083,LAS MARGARITAS,08,2020,30545.0,14590.0,15955.0,9220.0,18993.0,2332.0
113,BAVARIA,08,2020,39786.0,18634.0,21152.0,10127.0,23928.0,5731.0
075,FONTIBON,09,2020,135132.0,64166.0,70966.0,32773.0,82483.0,19876.0
076,FONTIBON SAN PABLO,09,2020,34104.0,16676.0,17428.0,9337.0,21138.0,3629.0
077,ZONA FRANCA,09,2020,61474.0,28676.0,32798.0,17120.0,39223.0,5131.0
110,CIUDAD SALITRE OCCIDENTAL,09,2020,45012.0,21133.0,23879.0,8782.0,28168.0,8062.0
112,GRANJAS DE TECHO,09,2020,48570.0,22407.0,26163.0,12966.0,29899.0,5705.0
114,MODELIA,09,2020,43805.0,20156.0,23649.0,9153.0,26117.0,8535.0
115,CAPELLANIA,09,2020,17942.0,8424.0,9518.0,4165.0,11328.0,2449.0
117,AEROPUERTO EL DORADO,09,2020,825.0,549.0,276.0,127.0,647.0,51.0
026,LAS FERIAS,10,2020,100990.0,48062.0,52928.0,22519.0,61718.0,16753.0
029,MINUTO DE DIOS,10,2020,110704.0,52141.0,58563.0,25453.0,65465.0,19786.0
030,BOYACA REAL,10,2020,127864.0,60775.0,67089.0,29663.0,78730.0,19471.0
031,SANTA CECILIA,10,2020,67179.0,31450.0,35729.0,14314.0,40076.0,12789.0
072,BOLIVIA,10,2020,83307.0,37960.0,45347.0,16877.0,52198.0,14232.0
073,GARCES NAVAS,10,2020,166155.0,78430.0,87725.0,39681.0,102672.0,23802.0
074,ENGATIVA,10,2020,140495.0,68054.0,72441.0,38335.0,89139.0,13021.0
105,JARDIN BOTANICO,10,2020,2729.0,1574.0,1155.0,620.0,1901.0,208.0
116,ALAMOS,10,2020,12049.0,5661.0,6388.0,2814.0,7818.0,1417.0
002,LA ACADEMIA,11,2020,4743.0,2304.0,2439.0,1737.0,2655.0,351.0
003,GUAYMARAL,11,2020,2469.0,1193.0,1276.0,662.0,1527.0,280.0
