sector,ruta,archivo,formato,tamano_mb,error_lectura,encoding,separador,crs,geometria,filas_totales,filas_muestra,columnas,n_unnamed,n_cols_vacias,filas_titulo_omitidas,pct_nulos_total,duplicados,columnas_territoriales,variables_numericas,variables_categoricas,variables_temporales,variables_espaciales,encoding_legacy,muestra_por_performance,bbox_fuera_bogota,problemas_detectados,capa_hoja
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,20.0,20.0,6.0,0,0,0,0.0,0.0,"LocAAdmini, LocArea",3,2,0,0,False,True,False,muestra_por_performance,Loca
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,3.0,,5.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",Corr
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,11.0,,5.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",CPob
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,Point,1798092.0,,7.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",PDom
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,81.0,,5.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",CPos
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,Point,363.0,,11.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",PGeo
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,677.0,,16.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",CAgu
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon Z,66.0,,18.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",PatioSITP
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,Point,7623.0,,15.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",PSITP
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,Point,149.0,,16.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",ETro
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,104483.0,,8.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",Calz
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,168912.0,,5.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",Ande
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,13683.0,,5.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",Sepa
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,6182.0,,5.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",Cicl
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,1212.0,,5.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",Puen
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiLineString,15674.0,,7.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",RBic
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiLineString,139107.0,,16.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",MVI
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,7725.0,,8.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",AUrb
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,33.0,33.0,11.0,0,0,0,9.09,0.0,CODIGO_UPL,3,6,1,0,False,True,False,muestra_por_performance,UPL
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,3.0,,7.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",UPR
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,7.0,,6.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",Suel
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,6.0,,10.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",Cuenca
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,39.0,,8.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",Microcuenca
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,120.0,,6.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",SubCuenca
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,7.0,,8.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",SubzonaHidrografica
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,Point,14071.0,,10.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",NGeo
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,,,1059885.0,,3.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",Uso
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,,,2025321.0,,3.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",ESoc
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,,,3824262.0,,51.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",Predio
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,,,104550.0,,3.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",ESTADO
